,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature
215,1999-12-01,76.9,17.0,340.5,85.3,4.1,26.8,24.823924731182796
216,2000-01-01,127.6,14.0,275.2,86.9,4.0,26.3,24.6377688172043
217,2000-02-01,39.9,18.0,237.8,86.5,5.8,26.6,24.785344827586204
218,2000-03-01,37.9,15.0,238.3,85.8,5.8,27.2,25.315188172043012
219,2000-04-01,87.4,20.0,311.6,85.6,5.3,27.5,25.554305555555555
220,2000-05-01,36.7,10.0,96.8,82.4,6.8,28.6,26.170698924731184
221,2000-06-01,41.7,16.0,157.5,84.3,4.6,27.6,25.51236111111111
222,2000-07-01,34.6,12.0,116.1,82.6,6.5,28.1,25.746370967741935
223,2000-08-01,28.1,18.0,113.5,83.8,5.1,27.5,25.354569892473116
224,2000-09-01,25.7,12.0,81.1,82.2,6.2,28.0,25.6075
225,2000-10-01,38.3,14.0,120.9,82.1,4.0,27.8,25.331989247311828
226,2000-11-01,72.0,21.0,385.7,87.1,3.7,27.3,25.583194444444448
227,2000-12-01,45.8,18.0,236.0,87.6,4.2,27.0,25.335887096774197
228,2001-01-01,125.4,21.0,425.8,87.4,4.4,26.5,24.856854838709676
229,2001-02-01,28.2,11.0,86.6,83.6,4.8,27.0,24.788095238095234
230,2001-03-01,41.1,20.0,297.3,84.5,5.4,27.5,25.350806451612904
231,2001-04-01,68.9,18.0,203.3,86.0,5.3,27.7,25.86472222222222
232,2001-05-01,56.1,12.0,164.9,85.0,6.0,28.5,26.47056451612903
233,2001-06-01,49.6,11.0,137.1,82.5,4.9,28.2,25.77097222222222
234,2001-07-01,44.8,9.0,111.3,80.8,8.1,28.4,25.7880376344086
235,2001-08-01,36.6,14.0,158.3,83.7,4.9,28.0,25.804973118279573
236,2001-09-01,74.3,13.0,162.0,82.3,6.2,28.0,25.575833333333332
237,2001-10-01,77.2,20.0,252.2,83.7,4.4,27.6,25.423387096774192
238,2001-11-01,102.6,15.0,175.3,84.9,3.7,27.2,25.157083333333333
239,2001-12-01,211.1,20.0,609.0,86.8,4.5,26.7,24.94233870967742
240,2002-01-01,83.8,11.0,221.2,83.6,6.9,27.0,24.83279569892473
241,2002-02-01,41.7,2.0,50.8,80.9,7.4,27.3,24.705357142857142
242,2002-03-01,26.4,8.0,55.6,80.8,7.6,28.2,25.528494623655916
243,2002-04-01,39.4,13.0,116.5,82.3,6.6,28.6,26.13722222222222
244,2002-05-01,75.9,13.0,236.6,82.3,6.2,28.9,26.417473118279567
245,2002-06-01,45.8,12.0,83.1,82.1,6.3,28.7,26.222638888888888
246,2002-07-01,69.5,11.0,233.7,82.7,6.8,28.4,26.05510752688172
247,2002-08-01,17.8,14.0,54.2,79.2,6.7,28.5,25.624193548387098
248,2002-09-01,38.9,9.0,124.2,81.7,5.5,28.1,25.545555555555556
249,2002-10-01,3.2,7.0,10.8,79.8,6.2,28.7,25.838306451612905
250,2002-11-01,84.0,15.0,307.2,85.8,4.6,27.4,25.49833333333333
251,2002-12-01,38.6,24.0,255.0,88.7,4.8,27.2,25.680779569892472
252,2003-01-01,194.4,20.0,444.2,86.9,4.7,26.7,24.92970430107527
253,2003-02-01,82.2,13.0,172.9,85.0,5.8,27.1,25.087648809523813
254,2003-03-01,38.3,11.0,154.6,83.8,6.9,28.1,25.84704301075269
255,2003-04-01,42.9,20.0,159.9,86.7,5.1,27.9,26.094305555555557
256,2003-05-01,33.0,11.0,81.8,81.7,5.8,29.2,26.612903225806452
257,2003-06-01,23.2,12.0,50.3,78.5,7.0,28.9,25.94916666666667
258,2003-07-01,30.9,14.0,170.4,81.7,5.6,28.1,25.634543010752687
259,2003-08-01,64.4,13.0,193.6,83.1,6.1,28.2,25.924865591397847
260,2003-09-01,60.0,15.0,205.3,84.8,5.0,27.6,25.566666666666666
261,2003-10-01,56.6,21.0,351.4,84.9,5.1,27.6,25.548521505376343
262,2003-11-01,41.3,19.0,133.8,87.3,4.2,27.1,25.443055555555556
263,2003-12-01,92.1,17.0,273.0,87.2,3.9,26.5,24.87150537634409
264,2004-01-01,177.8,13.0,600.9,86.7,6.7,26.9,25.08225806451613
265,2004-02-01,19.2,4.0,31.9,80.5,7.7,27.6,24.958189655172415
266,2004-03-01,122.8,16.0,269.4,85.8,4.8,27.7,25.739919354838708
267,2004-04-01,18.1,9.0,57.1,82.3,7.0,28.9,26.369027777777777
268,2004-05-01,73.4,13.0,137.6,82.1,6.0,28.9,26.447580645161292
269,2004-06-01,68.1,8.0,127.2,79.8,6.3,29.0,26.183611111111112
270,2004-07-01,34.3,20.0,166.6,85.3,4.2,27.3,25.38817204301075
271,2004-08-01,111.5,8.0,185.2,80.3,7.3,28.3,25.537365591397847
272,2004-09-01,29.1,14.0,128.9,83.6,5.9,27.8,25.570277777777775
273,2004-10-01,25.3,13.0,125.6,83.9,5.0,27.8,25.57338709677419
274,2004-11-01,62.4,15.0,166.2,86.1,5.8,27.3,25.41375
275,2004-12-01,36.4,14.0,139.8,85.2,4.9,26.8,24.87244623655914
276,2005-01-01,96.7,8.0,163.2,83.3,6.5,26.6,24.395967741935483
277,2005-02-01,7.2,3.0,8.4,77.7,9.1,28.5,25.330357142857142
278,2005-03-01,20.5,12.0,82.4,80.3,7.2,28.5,25.70577956989247
279,2005-04-01,49.6,10.0,81.7,81.0,7.0,28.7,26.036805555555556
280,2005-05-01,58.7,20.0,331.1,84.6,5.5,28.5,26.366532258064517
281,2005-06-01,27.6,15.0,82.3,82.7,5.4,28.8,26.405694444444443
282,2005-07-01,26.3,15.0,104.0,84.0,5.4,28.0,25.849865591397847
283,2005-08-01,13.8,13.0,58.5,82.9,6.5,28.2,25.900134408602153
284,2005-09-01,43.4,18.0,175.7,84.2,6.2,28.2,25.996111111111112
285,2005-10-01,76.2,19.0,314.5,85.2,5.1,27.6,25.58185483870968
286,2005-11-01,133.8,23.0,362.9,86.4,4.4,27.3,25.43236111111111
287,2005-12-01,47.3,19.0,166.0,85.6,4.5,27.3,25.326478494623657
288,2006-01-01,131.7,20.0,454.4,87.8,4.8,26.5,24.865591397849464
289,2006-02-01,44.5,8.0,115.5,84.0,7.4,27.5,25.37842261904762
290,2006-03-01,35.7,9.0,83.1,81.3,7.1,28.3,25.692204301075268
291,2006-04-01,43.3,18.0,239.8,87.0,5.3,27.6,25.854444444444447
292,2006-05-01,36.6,14.0,205.7,85.2,5.0,28.1,26.103629032258063
293,2006-06-01,37.3,16.0,236.8,86.3,5.5,27.8,25.99152777777778
294,2006-07-01,54.8,15.0,153.8,83.8,6.9,28.4,26.21155913978495
295,2006-08-01,30.4,14.0,127.3,81.9,6.7,28.3,25.854569892473116
296,2006-09-01,32.2,12.0,83.3,81.0,5.3,28.0,25.40486111111111
297,2006-10-01,37.8,8.0,102.0,80.9,4.8,28.3,25.69327956989247
298,2006-11-01,64.0,18.0,185.6,87.4,5.6,27.3,25.550416666666667
299,2006-12-01,198.0,22.0,765.9,88.5,3.2,26.6,25.12217741935484
300,2007-01-01,143.8,20.0,450.1,86.8,4.1,26.5,24.72083333333333
301,2007-02-01,51.4,3.0,105.5,82.5,7.6,27.3,24.870535714285715
302,2007-03-01,68.8,21.0,269.1,84.9,5.8,27.5,25.42043010752688
303,2007-04-01,102.4,14.0,240.2,84.7,5.9,28.1,26.00986111111111
304,2007-05-01,21.9,16.0,127.2,84.8,5.5,28.3,26.221236559139783
305,2007-06-01,38.0,12.0,139.0,82.8,6.0,28.4,26.059583333333336
306,2007-07-01,23.0,19.0,141.7,84.8,3.8,27.7,25.697580645161292
307,2007-08-01,55.9,20.0,190.7,82.9,5.7,27.7,25.4252688172043
308,2007-09-01,52.1,13.0,149.0,83.3,5.8,27.8,25.593194444444443
309,2007-10-01,51.8,16.0,237.2,83.2,5.6,27.8,25.488575268817204
310,2007-11-01,60.1,21.0,367.9,86.5,3.5,26.9,25.105833333333333
311,2007-12-01,159.0,20.0,468.6,86.8,4.5,26.4,24.704301075268816
312,2008-01-01,123.1,19.0,262.6,86.0,6.1,26.8,24.903360215053763
313,2008-02-01,48.5,8.0,129.2,82.9,5.5,26.7,24.427298850574715
314,2008-03-01,48.1,16.0,294.1,87.1,4.3,26.5,24.830510752688173
315,2008-04-01,34.2,13.0,87.2,82.0,6.0,28.1,25.641805555555553
316,2008-05-01,42.3,11.0,124.9,79.1,6.6,28.8,25.849596774193547
317,2008-06-01,45.2,12.0,118.3,81.5,5.6,28.2,25.66333333333333
318,2008-07-01,23.5,15.0,89.1,81.3,4.9,27.8,25.311155913978496
319,2008-08-01,133.9,18.0,327.3,83.8,5.5,27.4,25.284408602150535
320,2008-09-01,43.5,18.0,164.4,82.7,5.1,27.7,25.344722222222224
321,2008-10-01,41.6,19.0,159.5,84.9,4.5,27.6,25.546505376344083
322,2008-11-01,63.3,16.0,324.3,85.9,4.0,27.3,25.379583333333333
323,2008-12-01,52.0,17.0,244.2,83.7,4.8,26.9,24.690591397849463
324,2009-01-01,36.0,5.0,38.3,79.1,6.6,26.8,23.982795698924733
325,2009-02-01,74.2,8.0,201.8,80.7,6.4,27.3,24.64627976190476
326,2009-03-01,56.3,19.0,223.3,85.4,5.5,27.2,25.2
327,2009-04-01,86.6,12.0,183.7,82.2,6.2,28.5,26.000694444444445
328,2009-05-01,41.3,17.0,198.6,83.0,6.6,28.7,26.366666666666667
329,2009-06-01,5.8,8.0,21.8,79.8,7.0,29.1,26.281666666666666
330,2009-07-01,24.4,16.0,161.0,80.8,6.2,28.3,25.6002688172043
331,2009-08-01,35.5,12.0,177.8,80.7,6.5,28.3,25.64354838709677
332,2009-09-01,63.0,13.0,109.6,82.0,5.6,28.3,25.86611111111111
